state,capital,latitude,longitude,population
Uttar Pradesh,Lucknow,26.85,80.949997,3884000
Maharashta,Mumbai,19.07609,72.877426,17159000
Bihar,Patna,25.612677,85.158875,2321000
West Bengal,Kolkata,22.572645,88.363892,14900000
Madhya Pradesh,Bhopal,23.259933,77.412613,2479000
Tamil Nadu,Chennai,13.067439,80.237617,6407000
Rajasthan,Jaipur,26.92207,75.778885,4200000
Karnataka,Bengaluru,12.972442,77.580643,11644000
Gujarat,Gandhinagar,23.23756,72.647781,284000
Andhra Pradesh,Amaravati,20.937424,77.779549,891000
Odisha,Bhubaneswar,20.296059,85.824539,1161000
Telangana,Hyderabad,17.38714,78.491684,9283000
Kerala,Thiruvananthapuram,8.524139,76.936638,1023000
Jharkhand,Ranchi,23.344315,85.296013,1511000
Assam,Dispur,26.1433459,91.7897953,957352
Punjab,Chandigarh,30.7399738,76.7567368,1325000
Chhattisgarh,Raipur,21.2513844,81.6296413,1392000
Haryana,Chandigarh,30.7399738,76.7567368,1325000
Delhi,New Delhi,28.6139391,77.2090212,32941000
Jammu and Kashmir,Srinagar,34.0836581,74.7973681,1627000
Uttarakhand,Dehradun,30.3164945,78.0321918,784000
Himachal Pradest,Shimla,31.1048145,77.1734033,232000
Tripura,Agartala,23.831457,91.2867777,438000
Meghalaya,Shillong,25.5787726,91.8932535,196000
Manipur,Imphal,24.82,93.95,611000
Nagaland,Kohima,25.67467,94.11099,134000
Goa,Panaji,15.496777,73.827827,40017
Arunachal Pradesh,Itanagar,27.0843682,93.6053163,59490
Puducherry,Puducherry,12.844775,79.899612,1375592
Mizoram,Aizawl,23.717396,92.718117,403000
Chandigarh,Chandigarh,30.741482,76.768066,1191000
Dadra and Nagar and Daman and Diu,Daman,20.464611,72.854561,220084
Andaman and Nicobar Islands,Port Blair,11.623377,92.726483,140572
Ladakh,Leh,34.209515,77.615112,30870
Lakshadweep,kavaratti,10.5593204,72.6358134,11473
